,alpha,beta_mercado,beta_tamanho,beta_valor,beta_liquidez,beta_momentum,beta_beta,tvalue_alpha,tvalue_mercado,tvalue_tamanho,tvalue_valor,tvalue_liquidez,tvalue_momentum,tvalue_beta,pvalue_alpha,pvalue_mercado,pvalue_tamanho,pvalue_valor,pvalue_liquidez,pvalue_momentum,pvalue_beta,fvalue,f_pvalue,R_squared_adj
2012-04-27,0.0028522430696058696,0.5681434911853387,-0.06011845129839792,-0.28153432057277833,-0.10299372902473433,-0.025289676447473916,0.017522893133432194,0.5441428318750048,6.957505716819216,-0.7458018449969367,-2.2429719682822586,-0.9425969411736088,-0.3119519759873482,0.1846537885356205,0.5900011880257849,5.939341983220436e-08,0.46106692262256743,0.03173279238586471,0.35273704819921337,0.7570395600319872,0.8546307348338622,10.267322799449666,2.070555434286995e-06,0.5877549992046289
2012-05-02,-0.0006302266733145875,0.5195242237987039,-0.02599731889489805,-0.27413611675632843,-0.1272408982504065,0.020687847077089993,-0.02157893174520828,-0.11577993841121463,6.08220176379145,-0.30393682316435316,-2.029727087258862,-1.0861337598547622,0.24329893861772275,-0.2141377496340798,0.9085080873935432,6.737907181900475e-07,0.763028383502549,0.05026880134387793,0.2850606360556037,0.8092357884755915,0.8317187207255909,8.094727243331612,1.799157792498873e-05,0.515552951229524
2012-05-03,0.0007426921464769502,0.5074871098802226,-0.03304396380667868,-0.2473929642739554,-0.1529060205332546,-0.00368116020303418,-0.002170021169468745,0.14137687311437092,6.0091501441554955,-0.38800663104682637,-1.8722860359918845,-1.3406252649360395,-0.04533609731580302,-0.021985492724749464,0.8883828393477387,7.509740271776316e-07,0.7003610820295573,0.06954130398482176,0.1886793644281905,0.9640971013480619,0.9825843937287947,8.083890461479154,1.6198310171899883e-05,0.5090016921420497
2012-05-04,0.0007426921464769502,0.5074871098802226,-0.03304396380667868,-0.2473929642739554,-0.1529060205332546,-0.00368116020303418,-0.002170021169468745,0.14137687311437092,6.0091501441554955,-0.38800663104682637,-1.8722860359918845,-1.3406252649360395,-0.04533609731580302,-0.021985492724749464,0.8883828393477387,7.509740271776316e-07,0.7003610820295573,0.06954130398482176,0.1886793644281905,0.9640971013480619,0.9825843937287947,8.083890461479154,1.6198310171899883e-05,0.5090016921420497
2012-05-07,0.0007426921464769502,0.5074871098802226,-0.03304396380667868,-0.2473929642739554,-0.1529060205332546,-0.00368116020303418,-0.002170021169468745,0.14137687311437092,6.0091501441554955,-0.38800663104682637,-1.8722860359918845,-1.3406252649360395,-0.04533609731580302,-0.021985492724749464,0.8883828393477387,7.509740271776316e-07,0.7003610820295573,0.06954130398482176,0.1886793644281905,0.9640971013480619,0.9825843937287947,8.083890461479154,1.6198310171899883e-05,0.5090016921420497
2012-05-08,-0.0008669425545127189,0.5337148844798243,-0.05282471533004648,-0.2613578258855634,-0.11985137979714981,0.018918094970951004,0.0200105728169582,-0.16238073102198688,6.139439295927382,-0.6091850975533477,-1.9070599568371174,-0.9636185529646926,0.22555211947248538,0.181675767298604,0.8719399148716597,5.060601613042612e-07,0.5463360460755633,0.0647472861855583,0.3418481765067991,0.8228616719371267,0.8568852784749124,6.74817278738465,8.198762541829827e-05,0.4568747757408095
2012-05-09,-0.0002742911084526382,0.52779202867221,-0.028956137483036874,-0.20915158624539015,-0.12281425474466479,0.008738618706465154,0.026878696421922213,-0.0525888989632733,6.1852954363083406,-0.3610514031689312,-1.7043732449158964,-1.0614631183798262,0.10698504178266412,0.26406067652190024,0.9583423729547844,3.5248432473383584e-07,0.7201144535955657,0.09669658126222437,0.29535913657167207,0.9153788474017327,0.7931984379124571,6.971585675581069,5.1594650356677164e-05,0.4545190273426756
2012-05-10,-0.0009236995738054121,0.5410861476969183,-0.016533405471801307,-0.24123542810207776,-0.11494930837932738,0.02073186062220623,0.037200239415717457,-0.1757751699949249,6.314089136540908,-0.20151356463650108,-1.9200802337157878,-0.9527241879334175,0.25312132047303515,0.34593976569552654,0.8614290761111227,2.361156935393398e-07,0.8414008247606538,0.06258204091785721,0.3469126999843112,0.8015755865904071,0.7313473801637369,7.099472969493549,4.379722222287557e-05,0.4597775341417253
2012-05-11,0.0035669059177570296,0.5174981852571016,-0.08808232595129693,-0.1563051127563738,-0.19279509423672514,-0.04048432111375313,0.1170746104810724,0.5851891554508489,5.940285051022481,-1.0028290673415872,-1.109534905669363,-1.6397384804674031,-0.43587805461289814,1.1917173719273289,0.5616276560391321,5.261266185908318e-07,0.3218254396928997,0.27366508578715526,0.10871111479655686,0.6652116514585139,0.2402248020127348,7.52007870612746,1.7828671628859664e-05,0.45425287647301427
2012-05-14,0.0032318709888825153,0.48330025369302204,-0.10639363683032377,-0.1542270830721923,-0.21481346827328493,-0.036094640908460644,0.15467509013395475,0.5073836988538458,5.082913254176942,-1.1979096561021203,-1.0334591551624697,-1.6129252192198131,-0.3730113404547602,1.4045324987913628,0.6146718262046642,9.087465119856173e-06,0.23800234913825805,0.30759719412764763,0.11462372764443432,0.7111094595421339,0.16787834260219597,6.047917398716711,0.0001431425027431075,0.39701789478588856
