,fator_mercado,fator_tamanho,fator_valor,fator_liquidez,fator_momentum
2010-09-09,-0.0001496969,0.0040789898,0.0021497896,-0.0021270348,0.0036056391
2010-09-10,0.0016785435,-0.0033872779,-0.0025802115,-0.0019469436,0.0061127096
2010-09-13,0.0182218011,-0.0057994099,0.0005953033,-0.0133486111,-0.0032857733
2010-09-14,-0.0038300485,-0.0004425267,0.0023791920,-0.0015840899,0.0019669614
2010-09-15,0.0049450216,-0.0063028303,0.0015171301,-0.0118670277,0.0039765104
2010-09-16,-0.0057911966,0.0049812128,-0.0027937030,0.0068892236,0.0044344938
2010-09-17,-0.0077594789,0.0118294014,0.0042606946,0.0054249158,-0.0060500423
2010-09-20,0.0141976746,-0.0030758092,0.0009813150,-0.0071826810,0.0006969105
2010-09-21,-0.0085640457,0.0018346367,0.0011762099,0.0039456091,-0.0050846380
2010-09-22,0.0050474117,-0.0047123707,-0.0001697186,-0.0103199724,-0.0041555883
2010-09-23,0.0076962356,-0.0026187461,-0.0066915094,-0.0034444197,-0.0042546554
2010-09-24,-0.0066105942,0.0058007916,-0.0077765593,0.0083099771,0.0017993981
2010-09-27,0.0089278826,0.0020610057,0.0050964365,-0.0053103473,0.0059053935
2010-09-28,0.0060730088,-0.0083185975,-0.0021682025,-0.0039215917,-0.0025755176
2010-09-29,0.0086849034,-0.0034465587,-0.0096788397,-0.0002318935,0.0047702384
2010-09-30,0.0033275492,0.0035716845,-0.0008949060,0.0012096209,0.0132675152
2010-10-01,0.0103468467,0.0094187371,-0.0028128335,0.0033233529,0.0116011463
2010-10-04,0.0020569994,-0.0047878069,-0.0049234917,-0.0035177725,0.0044836015
2010-10-05,0.0090870243,0.0016361037,0.0024234345,0.0000311173,0.0071188072
2010-10-06,-0.0093402425,0.0055819964,0.0015822215,0.0100363605,0.0075633596
2010-10-07,-0.0072248527,0.0039789015,-0.0042101173,0.0037602242,0.0047614025
2010-10-08,0.0137264738,-0.0005444707,0.0032789260,0.0003888886,0.0012996728
2010-10-11,0.0012141017,0.0070401696,0.0016804012,0.0109245852,0.0014764899
2010-10-13,0.0097176358,0.0058837179,0.0047080508,0.0006444063,0.0165867042
