,factor,long,short
2005-06-14,0.03309706517709431,0.03381254517709431,0.00071548
2005-06-15,-0.010931452653822235,-0.010215972653822236,0.00071548
2005-06-16,0.009880980450139408,0.010596130450139407,0.0007151499999999999
2005-06-17,0.01256588762960664,0.01328103762960664,0.0007151499999999999
2005-06-20,-0.002516399377227587,-0.0018012493772275873,0.0007151499999999999
2005-06-21,-0.013154680062197667,-0.012439530062197668,0.0007151499999999999
2005-06-22,-0.002425747931731561,-0.0017105979317315612,0.0007151499999999999
2005-06-23,-0.034284742647402444,-0.033569592647402446,0.0007151499999999999
2005-06-24,0.0033548048678271303,0.00406995486782713,0.0007151499999999999
2005-06-27,0.011686021890677132,0.012401171890677132,0.0007151499999999999
2005-06-28,0.0006723073852374895,0.0013874573852374894,0.0007151499999999999
2005-06-29,-0.006059356484303892,-0.005344206484303893,0.0007151499999999999
2005-06-30,-0.0037001058226537897,-0.0029849558226537898,0.0007151499999999999
2005-07-01,0.00966401719252714,0.01037882719252714,0.0007148100000000001
2005-07-04,-0.011223744746552893,-0.010509264746552893,0.00071448
2005-07-05,-0.01548788786584147,-0.01477340786584147,0.00071448
2005-07-06,-0.007117722147922983,-0.006403242147922983,0.00071448
2005-07-07,-0.0034472776506097418,-0.0027327976506097418,0.00071448
2005-07-08,-0.0018187744785275566,-0.0011042944785275566,0.00071448
2005-07-11,0.023565911434303716,0.024280391434303716,0.00071448
2005-07-12,0.02007221651423093,0.02078669651423093,0.00071448
2005-07-13,0.011816848320801949,0.012531328320801949,0.00071448
2005-07-14,0.0017607675247524775,0.0024752475247524774,0.00071448
2005-07-15,-0.027643822345679015,-0.026929012345679015,0.0007148100000000001
2005-07-18,0.003210664714931328,0.003925144714931328,0.00071448
2005-07-19,-0.0026891255511235883,-0.0019746455511235883,0.00071448
2005-07-20,0.016459355621859146,0.017173835621859146,0.00071448
2005-07-21,0.004615222392530722,0.005329702392530722,0.00071448
2005-07-22,-0.01816668958130178,-0.01745220958130178,0.00071448
2005-07-25,-0.03458474899295021,-0.0338702689929502,0.00071448
2005-07-26,0.01302323962007253,0.01373771962007253,0.00071448
2005-07-27,0.018185310895930524,0.018899790895930524,0.00071448
2005-07-28,0.028095672279580052,0.028810482279580052,0.0007148100000000001
2005-07-29,-0.0017125414377781056,-0.0009973914377781057,0.0007151499999999999
2005-08-01,0.009115124172490495,0.009830274172490494,0.0007151499999999999
2005-08-02,0.017955141340025838,0.01867062134002584,0.00071548
2005-08-03,-0.003515136575460108,-0.0027996565754601077,0.00071548
2005-08-04,-0.009849597527139337,-0.009133787527139337,0.0007158100000000001
2005-08-05,0.001097563630525028,0.001813373630525028,0.0007158100000000001
2005-08-08,0.006562265269628204,0.007278075269628204,0.0007158100000000001
2005-08-09,0.020998090640185634,0.021713900640185635,0.0007158100000000001
2005-08-10,-0.0070915382620644505,-0.006375728262064451,0.0007158100000000001
2005-08-11,-0.018564392070288056,-0.017848582070288055,0.0007158100000000001
2005-08-12,0.01122426434385913,0.01194007434385913,0.0007158100000000001
2005-08-15,0.015016444832844682,0.015732254832844683,0.0007158100000000001
2005-08-16,-0.011492395707762528,-0.010776255707762528,0.00071614
2005-08-17,0.011692200945347056,0.012407680945347055,0.00071548
2005-08-18,-0.01953627634957689,-0.01882112634957689,0.0007151499999999999
2005-08-19,-0.010231878624535342,-0.009516728624535342,0.0007151499999999999
2005-08-22,0.02244203360606511,0.023157183606065113,0.0007151499999999999
2005-08-23,-0.018762910537030945,-0.018047760537030944,0.0007151499999999999
2005-08-24,-0.0028444787011094896,-0.0021293287011094897,0.0007151499999999999
2005-08-25,0.0251159371518419,0.025831087151841903,0.0007151499999999999
2005-08-26,-0.011918711783811433,-0.011203561783811433,0.0007151499999999999
2005-08-29,0.009988271749400267,0.010703081749400267,0.0007148100000000001
2005-08-30,0.007282268692715043,0.007997078692715043,0.0007148100000000001
2005-08-31,0.015261135515142698,0.015975945515142698,0.0007148100000000001
2005-09-01,-0.0036746793278659173,-0.0029595293278659174,0.0007151499999999999
2005-09-02,0.012052517086760538,0.012767327086760538,0.0007148100000000001
2005-09-05,0.006453522215120588,0.0071683322151205875,0.0007148100000000001
2005-09-06,0.010960048092700346,0.011675198092700345,0.0007151499999999999
2005-09-08,-0.0016508630479986652,-0.0009357130479986653,0.0007151499999999999
2005-09-09,0.015935328701262682,0.016650478701262683,0.0007151499999999999
2005-09-12,-0.00828987362494882,-0.00757472362494882,0.0007151499999999999
2005-09-13,-0.008038260774943297,-0.007323110774943298,0.0007151499999999999
2005-09-14,0.005415144739029596,0.006130294739029596,0.0007151499999999999
2005-09-15,0.010170946901893388,0.010877796901893388,0.00070685
2005-09-16,0.01461666390111008,0.015323843901110079,0.0007071800000000001
2005-09-19,0.008012640254896808,0.008720150254896808,0.00070751
2005-09-20,-0.0012727447386621015,-0.0005652347386621015,0.00070751
2005-09-21,0.02517525121860345,0.025882431218603452,0.0007071800000000001
2005-09-22,-0.005863653593734841,-0.005156143593734841,0.00070751
2005-09-23,0.019372355823717352,0.020079535823717354,0.0007071800000000001
2005-09-26,-0.005596296124496717,-0.004889116124496717,0.0007071800000000001
2005-09-27,-0.009248973776693063,-0.008541793776693063,0.0007071800000000001
2005-09-28,0.013607949473684282,0.014315789473684282,0.0007078399999999999
2005-09-29,-0.004156446188332203,-0.003448606188332204,0.0007078399999999999
2005-09-30,0.011307584683264375,0.012015764683264374,0.0007081800000000001
2005-10-03,0.007905445420466,0.008611955420466,0.00070651
2005-10-04,-0.018661651104972414,-0.017955801104972413,0.0007058499999999999
2005-10-05,-0.03650656845927634,-0.03580104845927634,0.0007055200000000001
2005-10-06,-0.031769039427131704,-0.031063519427131703,0.0007055200000000001
2005-10-07,0.02481882392855929,0.02552434392855929,0.0007055200000000001
2005-10-10,0.009436941548727111,0.01014246154872711,0.0007055200000000001
2005-10-11,0.010425041152029595,0.011130561152029594,0.0007055200000000001
2005-10-13,-0.024681478711700552,-0.02397595871170055,0.0007055200000000001
2005-10-14,-0.004386912235609149,-0.003681392235609149,0.0007055200000000001
2005-10-17,0.015149367470607926,0.015854887470607926,0.0007055200000000001
2005-10-18,-0.039525703850274416,-0.038820183850274415,0.0007055200000000001
2005-10-19,0.007172558987202386,0.007878078987202386,0.0007055200000000001
2005-10-20,-0.03321778787657435,-0.032528927876574354,0.00068886
2005-10-21,0.028664795094552567,0.029353655094552566,0.00068886
