,MKT,SMB,HML,IML,WML,BAB
2010-05-20,-0.025079997989579272,,,,,
2010-05-21,0.035520346439373185,,,,,
2010-05-24,-0.005708690817969098,,,,,
2010-05-25,-0.012200617541517134,,,,,
2010-05-26,0.01699783725331172,,,,,
2010-05-27,0.03159993354377799,,,,,
2010-05-28,-0.0023352444759389135,,,,,
2010-05-31,0.017757114953105058,,,,,
2010-06-01,-0.019128586609989395,,,,,
2010-06-02,0.017819892951278282,,,,,
2010-06-04,-0.02012932335605233,,,,,
2010-06-07,-0.007993384785005553,,,,,
2010-06-08,0.01099978752267794,,,,,
2010-06-09,-0.006094800827728952,,,,,
2010-06-10,0.02553717529562949,,,,,
2010-06-11,0.008818537962537176,,,,,
2010-06-14,-0.0011319864790504397,,,,,
2010-06-15,0.014307525223112405,,,,,
2010-06-16,0.004795009465876188,,,,,
2010-06-17,-0.0032431931553180693,,,,,
2010-06-18,-0.001595884786414814,,,,,
2010-06-21,0.0060678481641267545,,,,,
2010-06-22,-0.00027765351925834736,,,,,
2010-06-23,0.005384888367715446,,,,,
2010-06-24,-0.018769183548189128,,,,,
2010-06-25,0.013873031265151603,,,,,
2010-06-28,-0.009240404788349976,,,,,
2010-06-29,-0.03498637602179833,,,,,
2010-06-30,-0.01681241730936789,,,,,
2010-07-01,0.004923198109491933,,,,,
2010-07-02,0.0031680710693056113,,,,,
2010-07-05,-0.009197460524173806,,,,,
2010-07-06,0.019715764396615487,,,,,
2010-07-07,0.0196406992668976,,,,,
2010-07-08,0.0030339422286833617,,,,,
2010-07-12,-0.008129056651332789,,,,,
2010-07-13,0.011531130876747175,,,,,
2010-07-14,-0.003250321891781538,,,,,
2010-07-15,0.00015753241229377046,,,,,
2010-07-16,-0.01811337397029411,,,,,
2010-07-19,0.015367586903864305,,,,,
2010-07-20,0.01842109420667648,,,,,
2010-07-21,0.0002171788467804081,,,,,
2010-07-22,0.019712455604323997,,,,,
2010-07-23,0.008745513171503294,,,,,
2010-07-26,0.0018093270811030404,,,,,
2010-07-27,0.003476664208419189,,,,,
2010-07-28,0.002009778924318306,,,,,
2010-07-29,0.002185367021913631,,,,,
2010-07-30,0.0083788869970427,,,,,
2010-08-02,0.014841146411908479,,,,,
2010-08-03,-0.0075893573857582775,,,,,
2010-08-04,0.004044296071885611,,,,,
