ticker_id,company_id,codigo_cvm,codigo_negociacao
289,554,18139,$CSRN6
290,554,18139,$CSRN5
470,994,18309,$CELP3
471,994,18309,$CELP7
472,994,18309,$CELP5
473,994,18309,$CELP6
469,1750,18333,$PRPT3B
295,1822,18368,$GEPA3
296,1822,18368,$GEPA4
307,839,18376,$TRPL3
308,839,18376,$TRPL4
309,1180,18414,$IDNT3
313,1180,18414,$PDTC3
303,2166,18465,$UGPA3
474,1263,18589,$00
300,897,18597,$DTCY3
301,897,18597,$DTCY
304,645,18627,$SAPR4
305,645,18627,$SAPR3
590,645,18627,$SAPR11
317,822,18660,$CPFE3
311,545,18708,$PEAB3
312,545,18708,$PEAB4
314,350,18724,$BRAP3
315,350,18724,$BRAP4
475,1262,18775,$IVPR3
476,1262,18775,$IVPR4
320,474,18821,$CCRO3
477,31,18970,$TIET11
325,137,19100,$LIQO3
326,137,19100,$ATMP3
478,1742,19232,$PRMN3B
318,306,19305,$BIOM3
589,4113,19313,$AELP3
321,2132,19330,$TPIS3
322,1297,19348,$ITUB3
323,1297,19348,$ITUB4
328,728,19445,$CSMG3
324,914,19453,$ECOR3
329,1572,19550,$NATU3
334,1126,19569,$GOLL4
327,1137,19615,$GRND3
330,869,19623,$DASA3
332,1722,19658,$FRTA3
331,1385,19739,$RENT3
333,923,19763,$ENBR3
335,817,19836,$CSAN3
337,1369,19879,$LIGT3
338,340,19909,$BRML3
340,341,19925,$BR3
339,2131,19992,$TOTS3
345,992,20010,$EQTL3
342,2201,20028,$VLID3
344,368,20036,$AGRO3
336,837,20044,$CARD3
341,1403,20060,$LUPA3
348,957,20087,$EMBR3
346,1614,20125,$ODPV3
578,3024,20141,$CREM3
579,3595,20168,$OGXP3
343,475,20184,$CCXC3
349,2138,20257,$TAEE3
350,2138,20257,$TAEE4
598,2138,20257,$TAEE11
347,1405,20338,$MDIA3
354,1744,20346,$PFRM3
418,2110,20354,$TESA3
352,1730,20362,$POSI3
356,1401,20370,$LPSB3
359,2048,20435,$TCSA3
355,1829,20451,$RDNI3
361,1667,20478,$PDGR3
357,1187,20494,$IGTA3
353,1904,20516,$SMTO3
363,1007,20524,$EVEN3
603,233,20532,$SANB11
414,823,20540,$CPRE3
362,229,20567,$PINE4
366,1315,20575,$JBSS3
360,1318,20605,$JHSF3
358,1498,20613,$FRIO3
365,1032,20621,$FHER3
364,828,20630,$CRDE3
479,557,20648,$ceed3
480,557,20648,$ceed4
413,2234,20702,$INPR3
415,2234,20702,$VIVR3
481,1389,20710,$LOGN3
370,1967,20745,$SLCE3
367,1010,20770,$EZTC3
373,1440,20788,$MRFG3
378,1440,20788,$ADR
372,2054,20800,$tgma3
580,3447,20842,$MAGG3
375,1154,20877,$HBOR3
368,218,20885,$IDVL3
369,218,20885,$IDVL4
376,1547,20915,$MRVE3
382,1524,20931,$BEEF3
371,171,20958,$ABCB4
374,1999,20966,$SGPS3
379,1552,20982,$MULT3
380,158,20990,$BTOW3
377,1112,21008,$GSHP3
386,2261,21016,$ESTC3
389,2261,21016,$YDUQ3
381,848,21040,$CCPR3
483,1543,21067,$MDNE3
383,899,21091,$DTEX3
384,2147,21130,$21130
385,799,21148,$TEND3
388,359,21180,$BBRK3
387,228,21199,$BPAN4
393,982,21237,$ENEV3
581,2399,21300,$ALSC3
482,1608,21334,$NUTR3
395,1630,21342,$OSXB3
392,877,21350,$DIRR3
390,717,21393,$GPAR3
394,1176,21431,$HYPE3
391,1804,21440,$LLIS3
582,3697,21482,$PRML3
602,77,21490,$ALUP11
