Id,Nome,Descricao,Ticker,Version,VersionType,ExchangeId,InternalSymbol,InternalCryptoType,CotacaoAtivo,CodigoISINPapel,ElasticSearchId
219,FERTILIZANTES HERINGER S.A.,NULL,$FHER3,92,I,5,FHER3,NULL,1,BRFHERACNOR5,QlRdOXIBooXOYNzvFiNo
220,FIBAM CIA INDUSTRIAL,NULL,$FBMC3,92,I,5,FBMC3,NULL,1,NULL,kVRcOXIBooXOYNzv-CJL
221,FIBAM CIA INDUSTRIAL,NULL,$FBMC4,92,I,5,FBMC4,NULL,1,NULL,klRcOXIBooXOYNzv-CKH
222,FIBRIA CELULOSE S.A.,NULL,$FIBR3,92,I,5,FIBR3,NULL,1,NULL,TlRdOXIBooXOYNzvGSMN
223,FINANCEIRA ALFA S.A.- C.F.I,NULL,$CRIV3,92,I,5,CRIV3,NULL,1,BRCRIVACNOR4,p1NROXIBooXOYNzvO98U
224,FINANCEIRA ALFA S.A.- C.F.I,NULL,$CRIV4,92,I,5,CRIV4,NULL,1,BRCRIVACNPR1,qVNROXIBooXOYNzvO98U
225,FLEURY S.A.,NULL,$FLRY3,92,I,5,FLRY3,NULL,1,BRFLRYACNOR5,-lRdOXIBooXOYNzvNSNK
226,FORJAS TAURUS S.A.,NULL,$FJTA4,92,I,5,FJTA4,NULL,1,BRFJTAACNPR2,h1RdOXIBooXOYNzvJSON
227,FORJAS TAURUS S.A.,NULL,$FJTA3,92,I,5,FJTA3,NULL,1,BRFJTAACNOR5,hlRdOXIBooXOYNzvJSNT
228,FRAS-LE SA,NULL,$FRAS3,92,I,5,FRAS3,NULL,1,BRFRASACNOR0,qFRdOXIBooXOYNzvsCam
229,GAEC EDUCAÇÃO S.A.,NULL,$ANIM3,92,I,5,ANIM3,NULL,1,BRANIMACNOR6,zFM7OXIBooXOYNzvRl0K
230,GAFISA S.A.,NULL,$GFSA3,92,I,5,GFSA3,NULL,1,BRGFSAACNOR3,UlRdOXIBooXOYNzv-SgC
231,GENERAL SHOPPING S.A.,NULL,$GSHP3,92,I,5,GSHP3,NULL,1,BRGSHPACNOR7,tVRhOXIBooXOYNzvNzpI
232,GERDAU S.A.,NULL,$GGBR4,92,I,5,GGBR4,NULL,1,BRGGBRACNPR8,dlRdOXIBooXOYNzv_yjx
233,GERDAU S.A.,NULL,$GGBR3,92,I,5,GGBR3,NULL,1,BRGGBRACNOR1,dVRdOXIBooXOYNzv_yi3
234,GOL S.A.,NULL,$GOLL4,92,I,5,GOLL4,NULL,1,BRGOLLACNPR4,olRgOXIBooXOYNzvrjdj
235,GPC PARTICIPACOES S.A.,NULL,$GPCP3,92,I,5,GPCP3,NULL,1,BRGPCPACNOR4,EVRhOXIBooXOYNzvHToy
236,GPC PARTICIPACOES S.A.,NULL,$GPCP4,92,I,5,GPCP4,NULL,1,BRGPCPACNPR1,DVRhOXIBooXOYNzvHToy
237,GRADIENTE ELETRONICA S A,NULL,$IGBR3,92,I,5,IGBR3,NULL,1,BRIGBRACNOR7,n1RkOXIBooXOYNzvqU4_
238,GRAZZIOTIN S.A.,NULL,$CGRA4,92,I,5,CGRA4,NULL,1,BRCGRAACNPR9,ylNNOXIBooXOYNzvCse5
239,GRAZZIOTIN S.A.,NULL,$CGRA3,92,I,5,CGRA3,NULL,1,BRCGRAACNOR2,yVNNOXIBooXOYNzvCseI
240,GRENDENE S.A.,NULL,$GRND3,92,I,5,GRND3,NULL,1,BRGRNDACNOR3,OlRhOXIBooXOYNzvJDrK
241,GRUPO ITAUTEC S.A.,NULL,$ITEC3,92,I,5,ITEC3,NULL,1,BRITECACNOR6,FlRlOXIBooXOYNzvv1Ua
242,GUARARAPES S.A.,NULL,$GUAR3,92,I,5,GUAR3,NULL,1,BRGUARACNOR4,51RhOXIBooXOYNzvQzrV
243,GUARARAPES S.A.,NULL,$GUAR4,92,I,5,GUAR4,NULL,1,NULL,7FRhOXIBooXOYNzvRDpp
244,HAGA S.A.,NULL,$HAGA3,92,I,5,HAGA3,NULL,1,BRHAGAACNOR7,G1RhOXIBooXOYNzvTTt7
245,HAGA S.A.,NULL,$HAGA4,92,I,5,HAGA4,NULL,1,BRHAGAACNPR4,RFRhOXIBooXOYNzvTTu4
246,HELBOR S.A.,NULL,$HBOR3,92,I,5,HBOR3,NULL,1,BRHBORACNOR3,3lRhOXIBooXOYNzvmjy1
247,HERCULES S.A.,NULL,$HETA3,92,I,5,HETA3,NULL,1,BRHETAACNOR2,WlRhOXIBooXOYNzvrT1d
248,HERCULES S.A.,NULL,$HETA4,92,I,5,HETA4,NULL,1,BRHETAACNPR9,W1RhOXIBooXOYNzvrT2V
249,HOTEIS OTHON S.A.,NULL,$HOOT3,92,I,5,HOOT3,NULL,1,BRHOOTACNOR2,C1RhOXIBooXOYNzv-T_z
250,HOTEIS OTHON S.A.,NULL,$HOOT4,92,I,5,HOOT4,NULL,1,BRHOOTACNPR9,DFRhOXIBooXOYNzv-j8q
251,HYPERMARCAS S.A.,NULL,$HYPE3,92,I,5,HYPE3,NULL,1,BRHYPEACNOR0,wFRiOXIBooXOYNzvGz84
252,IDEIASNET S.A.,NULL,$IDNT3,92,I,5,IDNT3,NULL,1,BRIDNTACNOR5,OFRkOXIBooXOYNzvnE4-
253,IGUATEMI S.A.,NULL,$IGTA3,92,I,5,IGTA3,NULL,1,BRIGTAACNOR5,vVRkOXIBooXOYNzvr04u
254,INDUSTRIAS J B DUARTE S.A.,NULL,$JBDU4,92,I,5,JBDU4,NULL,1,BRJBDUACNPR3,eFRoOXIBooXOYNzvp2bB
255,INDUSTRIAS J B DUARTE S.A.,NULL,$JBDU3,92,I,5,JBDU3,NULL,1,BRJBDUACNOR6,d1RoOXIBooXOYNzvp2bB
256,INDÚSTRIAS ROMI S.A.,NULL,$ROMI3,92,I,5,ROMI3,NULL,1,BRROMIACNOR8,IVR-OXIBooXOYNzviOT6
257,INEPAR IND. E CONST. S.A.,NULL,$INEP3,92,I,5,INEP3,NULL,1,BRINEPACNOR1,klRkOXIBooXOYNzv_lCU
258,INEPAR IND. E CONST. S.A.,NULL,$INEP4,92,I,5,INEP4,NULL,1,BRINEPACNPR8,k1RkOXIBooXOYNzv_lDL
259,INT. MEAL COMPANY S.A.,NULL,$MEAL3,92,I,5,MEAL3,NULL,1,BRMEALACNOR9,AVRuOXIBooXOYNzvWIjc
260,IOCHPE-MAXION S.A.,NULL,$MYPK12,92,I,5,MYPK12,NULL,1,BRMYPKN02OR9,uFRxOXIBooXOYNzvz5uV
261,IOCHPE-MAXION S.A.,NULL,$MYPK3,92,I,5,MYPK3,NULL,1,BRMYPKACNOR7,uVRxOXIBooXOYNzvz5vR
262,IOCHPE-MAXION S.A.,NULL,$MYPK11,92,I,5,MYPK11,NULL,1,NULL,t1RxOXIBooXOYNzvz5tg
263,ITAÚ UNIBANCO HOLDING S.A.,NULL,$ITUB4,92,I,5,ITUB4,NULL,1,BRITUBACNPR1,lVRmOXIBooXOYNzvqlpt
