codigo_cvm,ticker_id,codigo_negociacao,data_referencia,ordinarias,preferenciais,totais
5770,107,$EUCA3,2013-06-30,31258,61361,92619
5770,107,$EUCA3,2013-09-30,31258,61361,92619
5770,107,$EUCA3,2013-12-31,31258,61361,92619
5770,107,$EUCA3,2014-03-31,31258,61361,92619
5770,107,$EUCA3,2014-06-30,31258,61361,92619
5770,107,$EUCA3,2014-09-30,31258,61361,92619
5770,107,$EUCA3,2014-12-31,31258,61361,92619
5770,107,$EUCA3,2015-03-31,31258,61361,92619
5770,107,$EUCA3,2015-06-30,31258,61361,92619
5770,107,$EUCA3,2015-09-30,31258,61361,92619
5770,107,$EUCA3,2015-12-31,31258,61361,92619
5770,107,$EUCA3,2016-03-31,31258,61361,92619
5770,107,$EUCA3,2016-06-30,31258,61361,92619
5770,107,$EUCA3,2016-09-30,31258,61361,92619
5770,107,$EUCA3,2016-12-31,31258,61361,92619
5770,107,$EUCA3,2017-03-31,31258,61361,92619
5770,107,$EUCA3,2017-06-30,31258,61361,92619
5770,107,$EUCA3,2017-09-30,31258,61361,92619
5770,107,$EUCA3,2017-12-31,31258,61361,92619
5770,107,$EUCA3,2018-03-31,31258,61361,92619
5770,107,$EUCA3,2018-06-30,31258,61361,92619
5770,107,$EUCA3,2018-09-30,31258,61361,92619
5770,107,$EUCA3,2018-12-31,31258,61361,92619
5770,107,$EUCA3,2019-03-31,31258,61361,92619
5770,107,$EUCA3,2019-06-30,31258,61361,92619
5770,107,$EUCA3,2019-09-30,31258,61361,92619
5770,107,$EUCA3,2019-12-31,31258,61361,92619
5770,107,$EUCA3,2020-03-31,31258,61361,92619
5770,107,$EUCA3,2020-06-30,31258,61361,92619
5770,107,$EUCA3,2020-09-30,31258,61361,92619
5770,108,$EUCA4,2010-12-31,31258,61361,92619
5770,108,$EUCA4,2011-03-31,31257700,61361556,92619256
5770,108,$EUCA4,2011-06-30,31257700,61361556,92619256
5770,108,$EUCA4,2011-09-30,31257700,61361556,92619256
5770,108,$EUCA4,2011-12-31,31258,61361,92619
5770,108,$EUCA4,2012-03-31,31258,61361,92619
5770,108,$EUCA4,2012-06-30,31258,61361,92619
5770,108,$EUCA4,2012-09-30,31258,61361,92619
5770,108,$EUCA4,2012-12-31,31258,61361,92619
5770,108,$EUCA4,2013-03-31,31258,61361,92619
5770,108,$EUCA4,2013-06-30,31258,61361,92619
5770,108,$EUCA4,2013-09-30,31258,61361,92619
5770,108,$EUCA4,2013-12-31,31258,61361,92619
5770,108,$EUCA4,2014-03-31,31258,61361,92619
5770,108,$EUCA4,2014-06-30,31258,61361,92619
5770,108,$EUCA4,2014-09-30,31258,61361,92619
5770,108,$EUCA4,2014-12-31,31258,61361,92619
5770,108,$EUCA4,2015-03-31,31258,61361,92619
5770,108,$EUCA4,2015-06-30,31258,61361,92619
5770,108,$EUCA4,2015-09-30,31258,61361,92619
5770,108,$EUCA4,2015-12-31,31258,61361,92619
5770,108,$EUCA4,2016-03-31,31258,61361,92619
5770,108,$EUCA4,2016-06-30,31258,61361,92619
5770,108,$EUCA4,2016-09-30,31258,61361,92619
5770,108,$EUCA4,2016-12-31,31258,61361,92619
5770,108,$EUCA4,2017-03-31,31258,61361,92619
5770,108,$EUCA4,2017-06-30,31258,61361,92619
5770,108,$EUCA4,2017-09-30,31258,61361,92619
5770,108,$EUCA4,2017-12-31,31258,61361,92619
5770,108,$EUCA4,2018-03-31,31258,61361,92619
5770,108,$EUCA4,2018-06-30,31258,61361,92619
5770,108,$EUCA4,2018-09-30,31258,61361,92619
5770,108,$EUCA4,2018-12-31,31258,61361,92619
5770,108,$EUCA4,2019-03-31,31258,61361,92619
5770,108,$EUCA4,2019-06-30,31258,61361,92619
5770,108,$EUCA4,2019-09-30,31258,61361,92619
5770,108,$EUCA4,2019-12-31,31258,61361,92619
5770,108,$EUCA4,2020-03-31,31258,61361,92619
5770,108,$EUCA4,2020-06-30,31258,61361,92619
5770,108,$EUCA4,2020-09-30,31258,61361,92619
5983,102,$SJOS,2010-12-31,4500,9000,13500
5983,102,$SJOS,2011-03-31,4500,9000,13500
5983,102,$SJOS,2011-06-30,4500,9000,13500
5983,102,$SJOS,2011-09-30,4500,9000,13500
5983,102,$SJOS,2011-12-31,4500,9000,13500
5983,102,$SJOS,2012-03-31,4500,9000,13500
5983,102,$SJOS,2012-06-30,4500,9000,13500
5983,102,$SJOS,2012-09-30,4500,9000,13500
5983,102,$SJOS,2012-12-31,4500,9000,13500
5983,102,$SJOS,2013-03-31,4500,9000,13500
5983,102,$SJOS,2013-06-30,4500,9000,13500
5983,102,$SJOS,2013-09-30,4500,9000,13500
5983,102,$SJOS,2013-12-31,4500,9000,13500
5983,102,$SJOS,2014-03-31,4500,9000,13500
5983,102,$SJOS,2014-06-30,4500,9000,13500
5983,102,$SJOS,2014-09-30,4500,9000,13500
5983,102,$SJOS,2014-12-31,4500,9000,13500
5983,102,$SJOS,2015-03-31,4500,9000,13500
5983,102,$SJOS,2015-06-30,4500,9000,13500
5983,102,$SJOS,2015-09-30,4500,9000,13500
5983,102,$SJOS,2015-12-31,4500,9000,13500
5983,102,$SJOS,2016-03-31,4500,9000,13500
5983,102,$SJOS,2016-06-30,4500,9000,13500
5983,102,$SJOS,2016-09-30,4500,9000,13500
5983,102,$SJOS,2016-12-31,4500,9000,13500
5983,102,$SJOS,2017-03-31,4500,9000,13500
5983,102,$SJOS,2017-06-30,4500,9000,13500
5983,102,$SJOS,2017-09-30,4500,9000,13500
5983,102,$SJOS,2017-12-31,4500,9000,13500
5983,102,$SJOS,2018-03-31,4500,9000,13500
5983,102,$SJOS,2018-06-30,4500,9000,13500
5983,102,$SJOS,2018-09-30,4500,9000,13500
5983,102,$SJOS,2018-12-31,4500,9000,13500
5983,102,$SJOS,2019-03-31,4500,9000,13500
5983,102,$SJOS,2019-06-30,4500,9000,13500
5983,102,$SJOS,2019-09-30,4500,9000,13500
5983,102,$SJOS,2019-12-31,4500,9000,13500
5983,102,$SJOS,2020-03-31,4500,9000,13500
5983,102,$SJOS,2020-06-30,4500,9000,13500
5983,102,$SJOS,2020-09-30,4500,9000,13500
6041,98,$FIGE3,2010-12-31,792,1572,2364
6041,98,$FIGE3,2011-03-31,792,1572,2364
6041,98,$FIGE3,2011-06-30,792,1572,2364
6041,98,$FIGE3,2011-09-30,792,1572,2364
6041,98,$FIGE3,2011-12-31,792,1572,2364
6041,98,$FIGE3,2012-03-31,792,1572,2364
6041,98,$FIGE3,2012-06-30,792,1572,2364
6041,98,$FIGE3,2012-09-30,792,1572,2364
6041,98,$FIGE3,2012-12-31,792,1572,2364
6041,98,$FIGE3,2013-03-31,792,1572,2364
6041,98,$FIGE3,2013-06-30,792,1572,2364
6041,98,$FIGE3,2013-09-30,792,1572,2364
6041,98,$FIGE3,2013-12-31,792,1572,2364
6041,98,$FIGE3,2014-03-31,792,1572,2364
6041,98,$FIGE3,2014-06-30,792,1572,2364
6041,98,$FIGE3,2014-09-30,792,1572,2364
6041,98,$FIGE3,2014-12-31,792,1572,2364
6041,98,$FIGE3,2015-03-31,792,1572,2364
6041,98,$FIGE3,2015-06-30,792,1572,2364
6041,98,$FIGE3,2015-09-30,792,1572,2364
6041,98,$FIGE3,2015-12-31,792,1572,2364
6041,98,$FIGE3,2016-03-31,792,1572,2364
6041,98,$FIGE3,2016-06-30,792,1572,2364
6041,98,$FIGE3,2016-09-30,792,1572,2364
6041,98,$FIGE3,2016-12-31,792,1572,2364
6041,98,$FIGE3,2017-03-31,792,1572,2364
6041,98,$FIGE3,2017-06-30,792,1572,2364
6041,98,$FIGE3,2017-09-30,792,1572,2364
6041,98,$FIGE3,2017-12-31,792,1572,2364
6041,98,$FIGE3,2018-03-31,792,1572,2364
6041,98,$FIGE3,2018-06-30,792,1572,2364
6041,98,$FIGE3,2018-09-30,792,1572,2364
6041,98,$FIGE3,2018-12-31,792,1572,2364
6041,98,$FIGE3,2019-03-31,792,1572,2364
6041,98,$FIGE3,2019-06-30,792,1572,2364
6041,98,$FIGE3,2019-09-30,792,1572,2364
6041,98,$FIGE3,2019-12-31,792,1572,2364
6041,98,$FIGE3,2020-03-31,792,1572,2364
6041,98,$FIGE3,2020-06-30,792,1572,2364
6041,98,$FIGE3,2020-09-30,792,1572,2364
6041,99,$FIGE4,2010-12-31,792,1572,2364
6041,99,$FIGE4,2011-03-31,792,1572,2364
6041,99,$FIGE4,2011-06-30,792,1572,2364
