,codigo_cvm,ticker,sector_id,data_referencia,demonstrativo_id,nome_demonstrativo,ativos,receita,custos,ROE,ROA,depreciacao,wc,capex
22388,21121,SULA3,3,2016-09-30,21440,itr,20985711,4145817,-16836,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22389,21121,SULA3,3,2016-09-30,21440,itr,20985711,4145817,-7477,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22390,21121,SULA3,3,2016-09-30,21440,itr,20985711,4145817,-256,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22391,21121,SULA3,3,2016-09-30,21440,itr,20985711,4145817,-7282,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22392,21121,SULA3,3,2016-09-30,21440,itr,20985711,4145817,-2022,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22393,21121,SULA3,3,2016-09-30,21440,itr,20985711,4145817,-1054,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22394,21121,SULA3,3,2016-09-30,21440,itr,20985711,4145817,-259,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22395,21121,SULA4,3,2016-09-30,21440,itr,20985711,4145817,-3759563,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22396,21121,SULA4,3,2016-09-30,21440,itr,20985711,4145817,-3165577,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22397,21121,SULA4,3,2016-09-30,21440,itr,20985711,4145817,-440258,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22398,21121,SULA4,3,2016-09-30,21440,itr,20985711,4145817,-118542,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22399,21121,SULA4,3,2016-09-30,21440,itr,20985711,4145817,-16836,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22400,21121,SULA4,3,2016-09-30,21440,itr,20985711,4145817,-7477,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22401,21121,SULA4,3,2016-09-30,21440,itr,20985711,4145817,-256,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22402,21121,SULA4,3,2016-09-30,21440,itr,20985711,4145817,-7282,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22403,21121,SULA4,3,2016-09-30,21440,itr,20985711,4145817,-2022,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22404,21121,SULA4,3,2016-09-30,21440,itr,20985711,4145817,-1054,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22405,21121,SULA4,3,2016-09-30,21440,itr,20985711,4145817,-259,0.141584,0.0331055,521000.0,248308000.0,-78782000.0
22406,21121,SULA3,3,2016-12-31,21457,dfp,21808563,16274044,-14620123,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22407,21121,SULA3,3,2016-12-31,21457,dfp,21808563,16274044,-12274046,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22408,21121,SULA3,3,2016-12-31,21457,dfp,21808563,16274044,-1735615,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22409,21121,SULA3,3,2016-12-31,21457,dfp,21808563,16274044,-479465,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22410,21121,SULA3,3,2016-12-31,21457,dfp,21808563,16274044,-55253,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22411,21121,SULA3,3,2016-12-31,21457,dfp,21808563,16274044,-28071,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22412,21121,SULA3,3,2016-12-31,21457,dfp,21808563,16274044,-901,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22413,21121,SULA3,3,2016-12-31,21457,dfp,21808563,16274044,-32492,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22414,21121,SULA3,3,2016-12-31,21457,dfp,21808563,16274044,-8745,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22415,21121,SULA3,3,2016-12-31,21457,dfp,21808563,16274044,-4062,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22416,21121,SULA3,3,2016-12-31,21457,dfp,21808563,16274044,-1473,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22417,21121,SULA4,3,2016-12-31,21457,dfp,21808563,16274044,-14620123,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22418,21121,SULA4,3,2016-12-31,21457,dfp,21808563,16274044,-12274046,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22419,21121,SULA4,3,2016-12-31,21457,dfp,21808563,16274044,-1735615,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22420,21121,SULA4,3,2016-12-31,21457,dfp,21808563,16274044,-479465,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22421,21121,SULA4,3,2016-12-31,21457,dfp,21808563,16274044,-55253,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22422,21121,SULA4,3,2016-12-31,21457,dfp,21808563,16274044,-28071,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22423,21121,SULA4,3,2016-12-31,21457,dfp,21808563,16274044,-901,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22424,21121,SULA4,3,2016-12-31,21457,dfp,21808563,16274044,-32492,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22425,21121,SULA4,3,2016-12-31,21457,dfp,21808563,16274044,-8745,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22426,21121,SULA4,3,2016-12-31,21457,dfp,21808563,16274044,-4062,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22427,21121,SULA4,3,2016-12-31,21457,dfp,21808563,16274044,-1473,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22428,21121,SULA11,3,2016-12-31,21457,dfp,21808563,16274044,-14620123,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22429,21121,SULA11,3,2016-12-31,21457,dfp,21808563,16274044,-12274046,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22430,21121,SULA11,3,2016-12-31,21457,dfp,21808563,16274044,-1735615,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22431,21121,SULA11,3,2016-12-31,21457,dfp,21808563,16274044,-479465,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22432,21121,SULA11,3,2016-12-31,21457,dfp,21808563,16274044,-55253,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22433,21121,SULA11,3,2016-12-31,21457,dfp,21808563,16274044,-28071,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
